,dates,opens,highs,lows,closes,PCT_RETURN,LOG_RETURNS,CUM_LOG_RETURNS,Base Volume BTC,Quote Volume USD,Trendline,SmoothPrice,HULL_55,HULL_180,HULL_55_TREND,HULL_180_TREND,SMA_20,SMA_50,SMA_100,SMA_200,SMA_Short_Term_Trend,SMA_Long_Term_Trend,SMA_Trend_Strength,EMA_20,EMA_50,EMA_100,EMA_200,EMA_Short_Term_Trend,EMA_Long_Term_Trend,EMA_Trend_Strength
886,2023-03-11 00:00:00+00:00,20230.07,20964.5,19900.5,20620.54,1.9300961736186784,0.01911706071791736,0.6651827533795178,18920.85100043,"390,158,164.89",22075.70859889567,20560.479,22769.20703829107,23621.70818313788,Bear,Bull,22786.5895,22940.198200000003,20297.79,19701.4038,Bear,Bull,Neutral,22241.053346864763,22125.854134730565,21249.18864824246,21750.13008464541,Bull,Bull,Neutral
887,2023-03-12 00:00:00+00:00,20619.34,22276.69,20446.24,22219.08,7.7521733184485075,0.07466371280115676,0.7398464661806746,19165.53317335,"425,840,514.82",21810.656148593513,21156.511000000002,22556.48306304542,23650.573422819656,Bear,Bull,22655.295000000002,22928.7924,20349.0337,19705.6636,Bear,Bull,Neutral,22238.960647163356,22129.51005101564,21268.39441758419,21754.796252957396,Bull,Bull,Neutral
888,2023-03-13 00:00:00+00:00,22216.02,24710.0,21882.63,24220.0,9.005413365449865,0.0862273589110513,0.8260738250917259,38654.82408388,"936,219,839.31",21691.393428215168,22500.840000000004,22423.86706435099,23687.304897048347,Bear,Bull,22643.573500000002,22958.895,20422.3484,19718.954299999998,Bear,Bull,Neutral,22427.63106171923,22211.490049015025,21326.84205287955,21779.325643475233,Bull,Bull,Neutral
889,2023-03-14 00:00:00+00:00,24220.0,26553.9,24052.0,24762.65,2.2405037159372476,0.022157731428069906,0.8482315565197958,44100.36444555,"1,092,041,889.64",21743.90700695376,23676.93,22375.506788359788,23733.98492284616,Bear,Bull,22672.484000000004,22995.7422,20498.8859,19741.56395,Bear,Bull,Neutral,22650.013817745967,22311.535537288946,21394.877853812628,21809.01046294314,Bull,Bull,Neutral
890,2023-03-15 00:00:00+00:00,24761.61,25300.0,23931.01,24377.16,-1.5567396865844407,-0.015689841210601123,0.8325417153091946,30128.4276161,"734,445,500.55",21927.63331661174,24245.567000000003,22390.637112305027,23788.287874747184,Bull,Bull,22694.176,23030.562,20572.997,19763.266300000003,Bear,Bull,Neutral,22814.503930341587,22392.540418179575,21453.93294581634,21834.564189680023,Bull,Bull,Neutral
891,2023-03-16 00:00:00+00:00,24377.16,25235.28,24207.54,25051.85,2.7677137123438333,0.027301048756921315,0.8598427640661159,20754.42573365,"519,936,760.32",22230.48714719993,24708.417999999998,22475.98803553391,23852.944468422353,Bull,Bull,22787.4245,23070.3518,20652.625,19790.755400000002,Bear,Bull,Neutral,23027.584508404296,22496.82706844704,21525.1788280774,21866.57698381256,Bull,Bull,Neutral
892,2023-03-17 00:00:00+00:00,25052.11,27834.54,24946.86,27453.62,9.58719615517416,0.09155035829974308,0.951393122365859,40752.19373629,"1,118,795,241.00",22683.63285726943,25848.699999999997,22677.409896937053,23938.067201102705,Bull,Bull,23002.12,23159.2148,20758.761199999997,19826.58865,Bear,Bull,Neutral,23449.111698080076,22691.211104978527,21642.57370276894,21922.169451635324,Bull,Bull,Neutral
893,2023-03-18 00:00:00+00:00,27453.75,27780.0,26652.45,26980.35,-1.7238892357364866,-0.01738921213133711,0.9340039102345219,18096.24372219,"488,242,989.31",23218.95956442882,26476.311999999998,22951.582580705006,24039.266286623864,Bull,Bull,23173.296000000002,23237.133800000003,20856.304600000003,19862.42455,Bear,Bull,Neutral,23785.420107786736,22859.412630273488,21748.27224330817,21972.49960634542,Bull,Bull,Neutral
894,2023-03-19 00:00:00+00:00,26980.35,28478.0,26904.0,28054.46,3.9810825285809814,0.03903879784405034,0.9730427080785722,16897.41761964,"474,047,926.71",23884.544180212477,27311.798,23300.746611952858,24159.677087899487,Bull,Bull,23401.542999999998,23337.644,20965.5433,19902.45555,Bull,Bull,Neutral,24191.99533561657,23063.1399781059,21873.147248391175,22033.016625187756,Bull,Bull,Neutral
895,2023-03-20 00:00:00+00:00,28058.15,28578.63,27218.36,27823.32,-0.8238975193249121,-0.008273103131460978,0.9647696049471112,23782.6567676,"661,712,469.70",24713.325902830486,27687.097999999998,23694.279072287496,24295.844932272423,Bull,Bull,23635.443,23419.194400000004,21072.495499999997,19940.9039,Bull,Bull,Neutral,24537.835779843565,23249.81370445469,21990.97245139333,22090.631584141112,Bull,Bull,Neutral
