,Timestamp,Open,High,Low,Close,PCT_RETURN,LOG_RETURNS,CUM_LOG_RETURNS,Base Volume LINK,Quote Volume USD,HULL_55,HULL_180,HULL_55_TREND,HULL_180_TREND,SMA_20,SMA_50,SMA_100,SMA_200,SMA_Short_Term_Trend,SMA_Long_Term_Trend,SMA_Trend_Strength,EMA_20,EMA_50,EMA_100,EMA_200,EMA_Short_Term_Trend,EMA_Long_Term_Trend,EMA_Trend_Strength
199,2023-03-21,7.077,7.484,6.87,7.4,4.5640808252084275,0.044629911116476455,0.07562679650137084,2212555.33,"16,372,909.44",6.676229022366523,7.063294108148343,Bull,Bull,6.817150000000001,7.1015999999999995,6.704019999999999,6.9638800000000005,Bear,Bull,Moderate,6.957912831299889,6.9693895663828,6.915831890459234,6.899969749511535,Bear,Bull,Neutral
200,2023-03-22,7.403,7.735,7.019,7.196,-2.756756756756762,-0.027954684121837454,0.04767211237953339,3396455.69,"24,440,895.15",6.692614881811311,7.075585685893786,Bull,Bull,6.812950000000001,7.10644,6.708969999999999,6.965554999999999,Bear,Bull,Moderate,6.980587799747519,6.978276250054063,6.9213797738164775,6.902915324143261,Bull,Bull,Neutral
201,2023-03-23,7.187,7.659,7.109,7.623,5.933852140077822,0.057644676917850066,0.10531678929738346,1957109.99,"14,919,049.45",6.7271290343915355,7.09107256742138,Bull,Bull,6.8461,7.1147,6.7159699999999996,6.9678949999999995,Bear,Bull,Moderate,7.041769914057279,7.003559534365669,6.935273243641894,6.910080345793577,Bull,Bull,Neutral
202,2023-03-24,7.622,7.67,7.126,7.2,-5.5489964580873625,-0.057088966984127056,0.048227822313256404,1568457.7,"11,292,895.44",6.76361672335601,7.107190804714009,Bull,Bull,6.8631,7.11674,6.720759999999999,6.966985000000001,Bear,Bull,Moderate,7.056839446051824,7.011263082037604,6.940515357629183,6.912965118472248,Bull,Bull,Neutral
203,2023-03-25,7.2,7.264,6.98,7.082,-1.6388888888888897,-0.016524672332297645,0.03170314998095876,983841.73,"6,967,567.13",6.798390651412079,7.122986990825404,Bull,Bull,6.869850000000001,7.11258,6.726999999999999,6.9691,Bear,Bull,Weak,7.059235689284984,7.014037078820444,6.943317033715733,6.914647057591927,Bull,Bull,Neutral
204,2023-03-26,7.083,7.297,7.058,7.265,2.5840158147415915,0.02551194333253417,0.05721509331349293,590713.68,"4,291,534.89",6.835597223081152,7.1391278175672515,Bull,Bull,6.8902,7.11308,6.740740000000001,6.970009999999999,Bear,Bull,Weak,7.078832290305462,7.023878762003956,6.949686993444134,6.918133156521361,Bull,Bull,Neutral
205,2023-03-27,7.266,7.278,6.756,6.876,-5.354439091534746,-0.0550312095016433,0.0021838838118496268,1380229.45,"9,490,457.70",6.863671511887584,7.153590005418189,Bull,Bull,6.889749999999999,7.1108400000000005,6.749210000000001,6.967355,Bear,Bull,Weak,7.059514929323989,7.0180795948665455,6.948227845059102,6.917713921133089,Bull,Bull,Neutral
206,2023-03-28,6.876,7.048,6.75,6.954,1.1343804537521818,0.011279946065066838,0.013463829876916465,1170852.07,"8,142,105.29",6.885467784992785,7.166779826073858,Bull,Bull,6.90865,7.113159999999999,6.75923,6.96338,Bear,Bull,Weak,7.04946588843599,7.0155666695776615,6.948342145156941,6.918074976644203,Bull,Bull,Neutral
207,2023-03-29,6.953,7.496,6.928,7.383,6.169111302847297,0.05986302649135898,0.07332685636827545,1449739.08,"10,703,423.63",6.914547099395314,7.18055843186556,Bull,Bull,6.969799999999999,7.1169,6.77519,6.960745,Bear,Bull,Weak,7.081231041918277,7.029975819790303,6.956949231391457,6.922701096279584,Bull,Bull,Neutral
208,2023-03-30,7.391,7.557,7.134,7.232,-2.0452390627116346,-0.020664436987153128,0.052662419381122316,1252676.07,"9,059,353.34",6.945667212086856,7.193921651196032,Bull,Bull,7.019449999999999,7.118779999999999,6.78739,6.956754999999999,Bear,Bull,Neutral,7.095589990307013,7.0378983366612715,6.962395781264894,6.925778697311628,Bull,Bull,Neutral
