,Timestamp,Open,High,Low,Close,PCT_RETURN,LOG_RETURNS,CUM_LOG_RETURNS,Base Volume BTC,Quote Volume USD,Trendline,SmoothPrice,HULL_55,HULL_180,HULL_55_TREND,HULL_180_TREND,SMA_20,SMA_50,SMA_100,SMA_200,SMA_Short_Term_Trend,SMA_Long_Term_Trend,SMA_Trend_Strength,EMA_20,EMA_50,EMA_100,EMA_200,EMA_Short_Term_Trend,EMA_Long_Term_Trend,EMA_Trend_Strength
199,2023-06-28 09:00:00,30279.84,30335.33,30231.16,30301.96,0.06703727602779264,0.0006701481608303606,0.118846362074324,303.66345249,"9,201,597.79",30447.971982949904,30281.336,30600.194286358485,30513.27574842771,Bear,Bear,30546.403499999997,30440.568400000004,30507.335,29954.280600000002,Bull,Bull,Neutral,30460.52086161601,30472.518873649202,30357.086891441635,29825.459513059905,Bear,Bull,Neutral
200,2023-06-28 10:00:00,30302.32,30345.74,30280.73,30343.6,0.13741685356327693,0.001373225230125552,0.12021958730444955,183.73415255,"5,575,155.63",30411.109356608893,30303.398999999998,30570.69279912217,30505.791767873598,Bear,Bear,30522.456,30439.325800000002,30503.5995,29971.46635,Bull,Bull,Neutral,30449.385541462103,30467.46323154531,30356.819824284375,29830.61513979563,Bear,Bull,Neutral
201,2023-06-28 11:00:00,30343.61,30390.89,30304.84,30309.48,-0.11244545802079342,-0.0011250872535788577,0.11909450005087069,272.16282866,"8,249,113.81",30381.57818893444,30315.429999999993,30540.440008718135,30497.975984639892,Bear,Bear,30512.627,30440.099,30500.870100000004,29988.565150000002,Bull,Bull,Neutral,30436.061204179998,30461.267810700396,30355.882402021318,29835.37996427528,Bear,Bull,Neutral
202,2023-06-28 12:00:00,30309.48,30368.03,30028.0,30097.43,-0.6996160937106088,-0.007020748818663573,0.11207375123220711,864.33199796,"26,014,171.81",30351.81135655311,30230.732,30504.488299500106,30488.929202795254,Bear,Bear,30481.6505,30436.487600000004,30495.655899999998,30004.275849999998,Bull,Bull,Neutral,30403.81061330571,30446.999661261165,30350.764532674362,29837.987427317315,Bear,Bull,Neutral
203,2023-06-28 13:00:00,30097.89,30211.29,30003.3,30199.96,0.3406603155153176,0.0034008138268617843,0.1154745650590689,730.84884374,"22,071,605.85",30324.637060779158,30205.469,30467.230679456126,30479.36341557267,Bear,Bear,30454.708000000002,30433.9502,30491.291199999996,30021.2284,Bull,Bull,Neutral,30384.396269181358,30437.311831407787,30347.77830430457,29841.589144458438,Bear,Bull,Neutral
204,2023-06-28 14:00:00,30199.96,30498.0,30143.6,30317.62,0.38960316503731107,0.0038884617743435196,0.11936302683341242,669.82560964,"20,307,518.30",30303.791578948298,30237.469999999994,30432.94584365766,30469.984782441985,Bear,Bear,30435.6865,30433.0432,30486.863599999997,30038.893500000002,Bull,Bull,Neutral,30378.036624497418,30432.61803409768,30347.181110159927,29846.325769886713,Bear,Bull,Neutral
205,2023-06-28 15:00:00,30317.61,30460.31,30283.03,30416.94,0.3275982745347461,0.0032706284045055313,0.12263365523791796,510.88125577,"15,539,444.50",30288.314694671033,30311.797,30404.13757796503,30461.314225535993,Bear,Bear,30422.288,30428.802200000002,30484.0917,30056.82855,Bear,Bull,Neutral,30381.741707878617,30432.003209231105,30348.56247431518,29852.00352342018,Bear,Bull,Neutral
206,2023-06-28 16:00:00,30417.43,30480.0,30255.81,30260.04,-0.5158309810257,-0.0051716598190828305,0.11746199541883513,604.15402517,"18,281,724.97",30278.981472761054,30312.618,30376.23726039305,30452.598231839598,Bear,Bear,30402.2955,30425.938599999998,30479.608500000002,30074.404600000005,Bear,Bull,Neutral,30370.151069033036,30425.259553967142,30346.80955403171,29856.06358786376,Bear,Bull,Neutral
207,2023-06-28 17:00:00,30260.04,30287.92,30056.17,30155.02,-0.34705836476092156,-0.0034766200937444386,0.11398537532509069,557.86179725,"16,822,333.65",30274.806849302324,30255.170000000002,30346.760063921527,30443.406233842525,Bear,Bear,30373.9755,30420.5974,30474.578999999998,30091.33905,Bear,Bull,Neutral,30349.662395791795,30414.661924399803,30343.01174108059,29859.03827853178,Bear,Bull,Neutral
208,2023-06-28 18:00:00,30155.03,30255.49,30137.85,30194.47,0.13082398884165514,0.0013073848882293898,0.11529276021332008,276.28841206,"8,342,382.17",30276.349486802425,30217.996000000003,30317.985511063016,30434.040117118784,Bear,Bear,30354.295000000002,30422.354,30469.468600000004,30108.50365,Bear,Bull,Neutral,30334.88216762115,30406.02694697236,30340.070320465133,29862.375907601116,Bear,Bull,Neutral
