,Timestamp,Open,High,Low,Close,PCT_RETURN,LOG_RETURNS,CUM_LOG_RETURNS,Base Volume ETH,Quote Volume USD,HULL_55,HULL_180,HULL_55_TREND,HULL_180_TREND,SMA_20,SMA_50,SMA_100,SMA_200,SMA_Short_Term_Trend,SMA_Long_Term_Trend,SMA_Trend_Strength,EMA_20,EMA_50,EMA_100,EMA_200,EMA_Short_Term_Trend,EMA_Long_Term_Trend,EMA_Trend_Strength
199,2023-03-21,1739.28,1839.99,1724.37,1807.23,3.8984259120856235,0.03824356197427768,0.1485849119490533,215769.94317511,"389,945,914.40",1637.9272379663987,1690.2687610800615,Bull,Bull,1628.2745,1625.8306,1495.6371,1430.70815,Bull,Bull,Neutral,1671.043722295487,1611.970118168464,1542.3939694273577,1494.6683166252205,Bull,Bull,Moderate
200,2023-03-22,1806.79,1823.8,1715.17,1739.18,-3.7654310740746877,-0.03838154852080849,0.1102033634282448,196097.23997699,"341,048,397.82",1653.3348317700818,1696.8723277258905,Bull,Bull,1632.8400000000001,1628.9064,1500.2717000000002,1431.61555,Bull,Bull,Neutral,1677.5328916006788,1616.958740985387,1546.2907225080041,1497.1012686986014,Bull,Bull,Moderate
201,2023-03-23,1738.99,1861.67,1733.77,1817.49,4.5026966731448015,0.04404269056845778,0.15424605399670258,182879.51736378,"332,381,694.01",1669.9122416941523,1703.885597761011,Bull,Bull,1645.2375,1632.4152,1505.2419,1432.8078,Bull,Bull,Neutral,1690.8621400196616,1624.8227119271367,1551.6610052306178,1500.2892162737396,Bull,Bull,Moderate
202,2023-03-24,1817.27,1822.55,1728.27,1751.93,-3.60717252914734,-0.036738390969022906,0.11750766302767968,193658.46405908,"339,276,072.94",1685.2117678141965,1710.8529693377543,Bull,Bull,1654.498,1634.59,1509.6865,1433.4774,Bull,Bull,Neutral,1696.6781266844557,1629.8073114594058,1555.6267278993184,1502.793104669026,Bull,Bull,Moderate
203,2023-03-25,1751.79,1764.93,1715.23,1743.8,-0.4640596370859673,-0.004651397366526838,0.11285626566115284,80639.99683541,"140,620,026.48",1699.1216274479486,1717.637147505191,Bull,Bull,1663.4474999999998,1636.1922,1514.4597,1434.4,Bull,Bull,Neutral,1701.165924143079,1634.2776129708018,1559.3529313072527,1505.1911832295334,Bull,Bull,Moderate
204,2023-03-26,1743.69,1801.02,1741.01,1775.86,1.8385135910081507,0.018218172622416547,0.13107443828356938,81741.29679602,"145,161,099.33",1712.5928396808217,1724.333168061912,Bull,Bull,1673.9479999999999,1638.3728,1520.5485,1435.1297,Bull,Bull,Neutral,1708.2796456532622,1639.8298634425353,1563.6401999942377,1507.884405286951,Bull,Bull,Moderate
205,2023-03-27,1775.85,1782.19,1688.0,1716.42,-3.347110695662936,-0.034044086271146634,0.09703035201242274,120123.69610665,"206,182,714.47",1724.0590116470833,1730.6263694675865,Bull,Bull,1681.6855,1640.1138,1525.8421000000003,1435.53315,Bull,Bull,Neutral,1709.0549174958087,1642.8333982094946,1566.6655425686092,1509.959386328872,Bull,Bull,Moderate
206,2023-03-28,1716.13,1795.54,1701.81,1773.7,3.3371785460435177,0.03282703386655641,0.12985738587897916,126114.46205033,"223,689,221.34",1735.1670216622003,1736.7837165448375,Bull,Bull,1693.762,1643.2978,1531.7459,1435.8056,Bull,Bull,Weak,1715.2115920200174,1647.9654218091223,1570.7652347949734,1512.5836710420174,Bull,Bull,Moderate
207,2023-03-29,1773.82,1827.7,1772.99,1793.41,1.111236398489046,0.011051075291752904,0.14090846117073205,124064.2834112,"222,498,126.51",1746.6082749261318,1742.8529131944563,Bull,Bull,1711.562,1645.7404000000001,1538.004,1435.8991999999998,Bull,Bull,Weak,1722.6590594466825,1653.6691307577842,1575.174042026756,1515.3779628724453,Bull,Bull,Moderate
208,2023-03-30,1793.4,1829.82,1762.94,1793.68,0.015055118461471118,0.0001505398529224356,0.14105900102365448,136706.00627233,"245,206,829.33",1758.1625874561946,1748.7910311777487,Bull,Bull,1729.6384999999998,1648.601,1543.7739,1436.0328499999998,Bull,Bull,Weak,1729.4229585469984,1659.1597530810084,1579.5008926796916,1518.147137371227,Bull,Bull,Moderate
209,2023-03-31,1793.68,1847.12,1779.47,1822.01,1.5794344587663378,0.0156709119228302,0.1567299129464847,150470.34252747,"274,158,468.79",1770.563238172542,1754.7294148181707,Bull,Bull,1746.5549999999998,1654.1304,1549.8570000000002,1436.55935,Bull,Bull,Moderate,1738.2407720187127,1665.54603727391,1584.3030532206878,1521.1706484421602,Bull,Bull,Moderate
210,2023-04-01,1822.11,1843.0,1809.12,1821.73,-0.015367643426766886,-0.00015368824370079668,0.1565762247027839,75499.214378,"137,539,183.81",1783.3855378358417,1760.642058089591,Bull,Bull,1758.0260000000003,1660.3042,1555.8993000000003,1437.79445,Bull,Bull,Moderate,1746.1921270645496,1671.6708985572864,1589.004576919288,1524.1612887561687,Bull,Bull,Moderate
211,2023-04-02,1821.69,1825.97,1773.25,1795.37,-1.446976225895169,-0.01457547022074628,0.1420007544820376,53524.50081719,"96,096,283.03",1795.4991281179139,1766.3887521649958,Bull,Bull,1763.6979999999999,1665.4344,1561.6538,1438.5756,Bull,Bull,Moderate,1750.875734010783,1676.5218437119026,1593.0910209406882,1526.8598828978984,Bull,Bull,Moderate
212,2023-04-03,1795.41,1839.99,1763.58,1810.92,0.8661167335980879,0.008623874603860266,0.15062462908589788,156367.81692427,"283,169,607.02",1807.1811974936443,1772.0210683079426,Bull,Bull,1768.9965000000004,1671.3478,1567.5578999999998,1440.2667999999999,Bull,Bull,Moderate,1756.5942355335656,1681.7923596447692,1597.4044660705754,1529.686351724785,Bull,Bull,Moderate
213,2023-04-04,1810.91,1892.1,1802.76,1871.36,3.337530095200214,0.03283043582279003,0.1834550649086879,160288.10821587,"299,956,754.19",1819.6086943241942,1777.8200278295024,Bull,Bull,1779.7244999999998,1678.6491999999998,1574.0878,1442.45495,Bull,Bull,Moderate,1767.5243083398925,1689.2263847567392,1602.8293281285837,1533.0860895185683,Bull,Bull,Moderate
214,2023-04-05,1871.19,1943.64,1865.24,1908.9,2.006027701778401,0.019861720665606687,0.20331678557429458,159154.20039336,"303,809,453.13",1833.2531956211776,1783.9118251392226,Bull,Bull,1791.3075000000001,1685.6938,1580.901,1444.6546000000003,Bull,Bull,Moderate,1780.9886599265694,1697.8410363349062,1608.8901335121761,1536.825531413906,Bull,Bull,Strong
215,2023-04-06,1908.89,1910.59,1854.06,1873.29,-1.865472261511869,-0.018830916627368244,0.18448586894692634,106044.26222348,"198,651,655.98",1846.4483606386998,1790.0914693719653,Bull,Bull,1795.289,1689.662,1587.524,1447.34745,Bull,Bull,Moderate,1789.7792637430866,1704.7213878511845,1614.125774432727,1540.1734365739667,Bull,Bull,Strong
216,2023-04-07,1873.28,1883.35,1842.25,1865.02,-0.4414692866560932,-0.004424466398482353,0.180061402548444,59267.01815764,"110,534,174.20",1858.493756630935,1796.275495022183,Bull,Bull,1800.3560000000002,1694.2058000000002,1594.2818,1449.7917000000002,Bull,Bull,Moderate,1796.9450481485069,1711.007607935452,1619.0939769192075,1543.4057406876586,Bull,Bull,Strong
217,2023-04-08,1865.02,1880.56,1848.21,1850.06,-0.8021361701215035,-0.008053705902122612,0.17200769664632137,38479.70792157,"71,189,768.44",1868.7590371916444,1802.349457555511,Bull,Bull,1803.539,1697.3195999999998,1600.785,1452.428,Bull,Bull,Moderate,1802.003614991506,1716.4606429183755,1623.6675615346687,1546.4570268499706,Bull,Bull,Strong
218,2023-04-09,1849.83,1874.78,1823.11,1859.84,0.5286315038431244,0.00527239152292579,0.17728008816924717,57884.00934696,"107,654,995.94",1877.5174447708378,1808.3355486361536,Bull,Bull,1809.56,1700.68,1607.3924,1455.49895,Bull,Bull,Moderate,1807.5118421351722,1722.0833628039295,1628.3442434844771,1549.5752653887769,Bull,Bull,Strong
